Tempo(s),FPS
1.45,183.00
2.45,193.61
3.45,185.00
4.45,182.82
5.46,170.49
6.46,134.73
7.46,103.59
8.46,185.81
9.47,195.22
10.47,114.89
11.47,190.00
12.47,168.33
13.47,174.83
14.48,191.04
15.48,168.66
16.48,168.00
17.49,178.29
18.49,179.10
19.49,103.69
20.49,171.83
21.50,203.80
22.50,163.84
23.50,163.51
24.50,192.23
25.50,200.60
26.51,228.09
27.51,195.61
28.51,199.60
29.52,209.16
30.52,184.45
31.52,196.00
32.52,165.67
33.52,156.00
34.52,163.84
35.53,163.67
36.53,204.59
37.53,195.41
38.53,181.00
39.53,144.57
40.54,189.43
41.54,155.53
42.54,167.50
