Tempo(s),FPS
1.17,70.51
2.18,78.14
3.19,72.64
4.19,44.91
5.20,39.76
6.21,36.53
7.21,114.00
8.21,86.48
9.23,60.04
10.25,17.66
11.27,11.78
12.31,11.57
13.33,55.77
14.35,22.55
15.40,13.23
16.41,11.93
17.41,17.98
18.45,26.11
19.46,103.96
20.46,72.00
21.46,88.56
22.46,57.88
23.49,28.35
24.55,17.86
25.59,13.49
26.62,12.63
27.63,118.69
28.64,27.70
29.65,18.72
30.71,13.26
31.75,11.59
32.74,42.00
33.75,70.72
34.76,98.31
35.76,73.71
36.80,27.80
37.82,16.67
38.84,15.70
39.85,12.85
40.88,12.61
41.92,14.56
42.95,16.38
43.96,11.96
44.98,20.55
45.99,28.80
46.99,52.53
48.00,80.52
49.02,32.23
50.04,18.63
51.12,13.02
52.14,12.76
53.18,12.44
54.23,12.37
55.26,15.55
56.27,26.76
